,Epochs,Loss
0,0,507067.59375
1,1,268892.5625
2,2,147662.1875
3,3,93190.6875
4,4,67448.5
5,5,52538.49609375
6,6,43552.00390625
7,7,37000.50390625
8,8,32798.7109375
9,9,29234.583984375
10,10,26481.2109375
11,11,24516.150390625
12,12,22539.693359375
13,13,20859.572265625
14,14,19373.400390625
15,15,18586.283203125
16,16,17501.1953125
17,17,16696.69921875
18,18,16031.4755859375
19,19,15277.4833984375
20,20,14665.4140625
21,21,14193.0419921875
22,22,13650.2734375
23,23,13036.5283203125
24,24,12986.45703125
25,25,12458.185546875
26,26,11999.1962890625
27,27,11782.880859375
28,28,11568.244140625
29,29,11410.4345703125
30,30,10806.3603515625
31,31,10948.5166015625
32,32,10451.7763671875
33,33,10168.7509765625
34,34,10194.490234375
35,35,9978.6435546875
36,36,9574.89453125
37,37,9550.4345703125
38,38,9193.6611328125
39,39,9108.5419921875
40,40,9056.193359375
41,41,8923.173828125
42,42,8609.140625
43,43,8591.5654296875
44,44,8563.8759765625
45,45,8390.130859375
46,46,8112.09228515625
47,47,8198.8681640625
48,48,7994.1220703125
49,49,7979.92822265625
50,50,7828.29736328125
51,51,7762.931640625
52,52,7677.125
53,53,7607.1875
54,54,7474.23876953125
55,55,7507.07421875
56,56,7286.38525390625
57,57,7262.56201171875
58,58,7198.328125
59,59,7078.73828125
60,60,7138.240234375
61,61,6980.9384765625
62,62,6957.548828125
63,63,6723.7119140625
64,64,6590.58251953125
65,65,6612.9912109375
66,66,6577.64599609375
67,67,6631.1650390625
68,68,6613.64599609375
69,69,6494.759765625
70,70,6375.01806640625
71,71,6373.24658203125
72,72,6264.5947265625
73,73,6172.99365234375
74,74,6263.2314453125
75,75,6070.4931640625
76,76,6184.8125
77,77,6030.00244140625
78,78,6050.708984375
79,79,5878.06005859375
80,80,5893.08154296875
81,81,5948.81201171875
82,82,5766.10107421875
83,83,5715.08154296875
84,84,5621.90576171875
85,85,5725.6064453125
86,86,5693.60107421875
87,87,5482.23828125
88,88,5585.76708984375
89,89,5561.31640625
90,90,5446.65283203125
91,91,5532.3017578125
92,92,5364.00732421875
93,93,5573.67431640625
94,94,5246.380859375
95,95,5249.4970703125
96,96,5283.9375
97,97,5220.46630859375
98,98,5277.197265625
99,99,5303.89794921875
